,Time,1,2,3
S/N,,227659,227659,227659
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,GH South wall,GH South wall,GH South wall
Property,,Temperature,Humidity,Dew Point
113,2020-02-04 15:39:00,12.6 °C,55.8 %RH,4.0 °C
114,2020-02-04 15:54:00,12.6 °C,55.8 %RH,4.0 °C
115,2020-02-04 16:09:00,12.8 °C,55.8 %RH,4.2 °C
116,2020-02-04 16:24:00,12.8 °C,55.8 %RH,4.2 °C
117,2020-02-04 16:39:00,12.6 °C,56.3 %RH,4.1 °C
118,2020-02-04 16:54:00,12.6 °C,56.3 %RH,4.1 °C
119,2020-02-04 17:09:00,12.6 °C,56.3 %RH,4.1 °C
120,2020-02-04 17:24:00,12.8 °C,56.3 %RH,4.3 °C
121,2020-02-04 17:39:00,12.8 °C,56.3 %RH,4.3 °C
122,2020-02-04 17:54:00,12.8 °C,56.7 %RH,4.4 °C
123,2020-02-04 18:09:00,12.8 °C,56.7 %RH,4.4 °C
124,2020-02-04 18:24:00,12.6 °C,56.7 %RH,4.2 °C
125,2020-02-04 18:39:00,12.8 °C,56.7 %RH,4.4 °C
126,2020-02-04 18:54:00,12.8 °C,57.1 %RH,4.5 °C
127,2020-02-04 19:09:00,12.8 °C,57.1 %RH,4.5 °C
128,2020-02-04 19:24:00,12.8 °C,57.1 %RH,4.5 °C
129,2020-02-04 19:39:00,12.8 °C,57.1 %RH,4.5 °C
130,2020-02-04 19:54:00,12.6 °C,57.1 %RH,4.3 °C
131,2020-02-04 20:09:00,12.8 °C,57.5 %RH,4.6 °C
132,2020-02-04 20:24:00,12.8 °C,57.5 %RH,4.6 °C
133,2020-02-04 20:39:00,12.8 °C,57.5 %RH,4.6 °C
134,2020-02-04 20:54:00,12.8 °C,57.5 %RH,4.6 °C
135,2020-02-04 21:09:00,12.8 °C,57.5 %RH,4.6 °C
136,2020-02-04 21:24:00,12.8 °C,57.9 %RH,4.8 °C
137,2020-02-04 21:39:00,12.8 °C,57.9 %RH,4.8 °C
138,2020-02-04 21:54:00,12.8 °C,57.5 %RH,4.6 °C
139,2020-02-04 22:09:00,12.8 °C,57.5 %RH,4.6 °C
140,2020-02-04 22:24:00,12.8 °C,57.5 %RH,4.6 °C
141,2020-02-04 22:39:00,12.8 °C,57.5 %RH,4.6 °C
142,2020-02-04 22:54:00,12.6 °C,57.1 %RH,4.3 °C
143,2020-02-04 23:09:00,12.6 °C,57.1 %RH,4.3 °C
144,2020-02-04 23:24:00,12.6 °C,57.1 %RH,4.3 °C
145,2020-02-04 23:39:00,12.6 °C,57.1 %RH,4.3 °C
146,2020-02-04 23:54:00,12.6 °C,57.1 %RH,4.3 °C
147,2020-02-05 00:09:00,12.6 °C,57.1 %RH,4.3 °C
