,Time,1,2,3
S/N,,240424,240424,240424
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,Strongroom West Wall,Strongroom West Wall,Strongroom West Wall
Property,,Temperature,Humidity,Dew Point
188,2020-04-30 14:52:00,17.7 °C,50.2 %RH,7.2 °C
189,2020-04-30 15:07:00,17.7 °C,50.2 %RH,7.2 °C
190,2020-04-30 15:22:00,17.7 °C,50.2 %RH,7.2 °C
191,2020-04-30 15:37:00,17.7 °C,50.2 %RH,7.2 °C
192,2020-04-30 15:52:00,17.7 °C,50.2 %RH,7.2 °C
193,2020-04-30 16:07:00,17.7 °C,50.2 %RH,7.2 °C
194,2020-04-30 16:22:00,17.7 °C,50.2 %RH,7.2 °C
195,2020-04-30 16:37:00,17.7 °C,50.2 %RH,7.2 °C
196,2020-04-30 16:52:00,17.7 °C,50.2 %RH,7.2 °C
197,2020-04-30 17:07:00,17.7 °C,50.2 %RH,7.2 °C
198,2020-04-30 17:22:00,17.7 °C,50.2 %RH,7.2 °C
199,2020-04-30 17:37:00,17.7 °C,50.2 %RH,7.2 °C
200,2020-04-30 17:52:00,17.7 °C,50.6 %RH,7.3 °C
201,2020-04-30 18:07:00,17.7 °C,50.6 %RH,7.3 °C
202,2020-04-30 18:22:00,17.7 °C,50.6 %RH,7.3 °C
203,2020-04-30 18:37:00,17.7 °C,50.6 %RH,7.3 °C
204,2020-04-30 18:52:00,17.7 °C,50.6 %RH,7.3 °C
205,2020-04-30 19:07:00,17.7 °C,50.6 %RH,7.3 °C
206,2020-04-30 19:22:00,17.7 °C,50.6 %RH,7.3 °C
207,2020-04-30 19:37:00,17.7 °C,50.6 %RH,7.3 °C
208,2020-04-30 19:52:00,17.7 °C,50.2 %RH,7.2 °C
209,2020-04-30 20:07:00,17.7 °C,50.2 %RH,7.2 °C
210,2020-04-30 20:22:00,17.7 °C,50.6 %RH,7.3 °C
211,2020-04-30 20:37:00,17.7 °C,50.6 %RH,7.3 °C
212,2020-04-30 20:52:00,17.7 °C,50.6 %RH,7.3 °C
213,2020-04-30 21:07:00,17.7 °C,50.6 %RH,7.3 °C
214,2020-04-30 21:22:00,17.7 °C,50.6 %RH,7.3 °C
215,2020-04-30 21:37:00,17.7 °C,50.6 %RH,7.3 °C
216,2020-04-30 21:52:00,17.7 °C,50.6 %RH,7.3 °C
217,2020-04-30 22:07:00,17.7 °C,50.6 %RH,7.3 °C
218,2020-04-30 22:22:00,17.7 °C,50.6 %RH,7.3 °C
219,2020-04-30 22:37:00,17.7 °C,50.6 %RH,7.3 °C
220,2020-04-30 22:52:00,17.7 °C,50.6 %RH,7.3 °C
221,2020-04-30 23:07:00,17.7 °C,50.2 %RH,7.2 °C
222,2020-04-30 23:22:00,17.7 °C,50.6 %RH,7.3 °C
223,2020-04-30 23:37:00,17.7 °C,50.6 %RH,7.3 °C
224,2020-04-30 23:52:00,17.7 °C,50.6 %RH,7.3 °C
225,2020-05-01 00:07:00,17.7 °C,50.6 %RH,7.3 °C
226,2020-05-01 00:22:00,17.7 °C,50.6 %RH,7.3 °C
227,2020-05-01 00:37:00,17.7 °C,50.6 %RH,7.3 °C
228,2020-05-01 00:52:00,17.7 °C,50.6 %RH,7.3 °C
229,2020-05-01 01:07:00,17.7 °C,50.6 %RH,7.3 °C
230,2020-05-01 01:22:00,17.7 °C,50.6 %RH,7.3 °C
231,2020-05-01 01:37:00,17.7 °C,50.6 %RH,7.3 °C
232,2020-05-01 01:52:00,17.7 °C,50.6 %RH,7.3 °C
233,2020-05-01 02:07:00,17.7 °C,50.6 %RH,7.3 °C
234,2020-05-01 02:22:00,17.7 °C,50.6 %RH,7.3 °C
235,2020-05-01 02:37:00,17.7 °C,50.6 %RH,7.3 °C
236,2020-05-01 02:52:00,17.7 °C,50.6 %RH,7.3 °C
237,2020-05-01 03:07:00,17.7 °C,50.6 %RH,7.3 °C
238,2020-05-01 03:22:00,17.7 °C,50.6 %RH,7.3 °C
239,2020-05-01 03:37:00,17.7 °C,50.6 %RH,7.3 °C
240,2020-05-01 03:52:00,17.7 °C,50.6 %RH,7.3 °C
241,2020-05-01 04:07:00,17.7 °C,50.6 %RH,7.3 °C
242,2020-05-01 04:22:00,17.7 °C,50.6 %RH,7.3 °C
243,2020-05-01 04:37:00,17.7 °C,50.6 %RH,7.3 °C
244,2020-05-01 04:52:00,17.7 °C,50.6 %RH,7.3 °C
245,2020-05-01 05:07:00,17.7 °C,50.6 %RH,7.3 °C
246,2020-05-01 05:22:00,17.7 °C,50.6 %RH,7.3 °C
247,2020-05-01 05:37:00,17.7 °C,50.6 %RH,7.3 °C
248,2020-05-01 05:52:00,17.7 °C,50.6 %RH,7.3 °C
249,2020-05-01 06:07:00,17.7 °C,50.6 %RH,7.3 °C
250,2020-05-01 06:22:00,17.7 °C,50.6 %RH,7.3 °C
251,2020-05-01 06:37:00,17.7 °C,50.6 %RH,7.3 °C
252,2020-05-01 06:52:00,17.7 °C,50.6 %RH,7.3 °C
253,2020-05-01 07:07:00,17.7 °C,50.6 %RH,7.3 °C
254,2020-05-01 07:22:00,17.7 °C,50.6 %RH,7.3 °C
255,2020-05-01 07:37:00,17.7 °C,50.6 %RH,7.3 °C
256,2020-05-01 07:52:00,17.7 °C,50.6 %RH,7.3 °C
257,2020-05-01 08:07:00,17.7 °C,50.6 %RH,7.3 °C
258,2020-05-01 08:22:00,17.7 °C,50.6 %RH,7.3 °C
259,2020-05-01 08:37:00,17.7 °C,50.6 %RH,7.3 °C
260,2020-05-01 08:52:00,17.7 °C,50.6 %RH,7.3 °C
261,2020-05-01 09:07:00,17.7 °C,50.6 %RH,7.3 °C
262,2020-05-01 09:22:00,17.7 °C,50.6 %RH,7.3 °C
263,2020-05-01 09:37:00,17.7 °C,50.6 %RH,7.3 °C
264,2020-05-01 09:52:00,17.7 °C,50.6 %RH,7.3 °C
265,2020-05-01 10:07:00,17.7 °C,50.6 %RH,7.3 °C
266,2020-05-01 10:22:00,17.7 °C,50.6 %RH,7.3 °C
267,2020-05-01 10:37:00,17.7 °C,50.6 %RH,7.3 °C
268,2020-05-01 10:52:00,17.7 °C,50.6 %RH,7.3 °C
269,2020-05-01 11:07:00,17.7 °C,50.6 %RH,7.3 °C
270,2020-05-01 11:22:00,17.7 °C,50.6 %RH,7.3 °C
271,2020-05-01 11:37:00,17.7 °C,50.6 %RH,7.3 °C
272,2020-05-01 11:52:00,17.7 °C,50.6 %RH,7.3 °C
273,2020-05-01 12:07:00,17.7 °C,50.6 %RH,7.3 °C
274,2020-05-01 12:22:00,17.7 °C,50.6 %RH,7.3 °C
275,2020-05-01 12:37:00,17.7 °C,50.6 %RH,7.3 °C
276,2020-05-01 12:52:00,17.7 °C,50.6 %RH,7.3 °C
277,2020-05-01 13:07:00,17.7 °C,50.6 %RH,7.3 °C
278,2020-05-01 13:22:00,17.7 °C,50.6 %RH,7.3 °C
279,2020-05-01 13:37:00,17.7 °C,50.6 %RH,7.3 °C
280,2020-05-01 13:52:00,17.7 °C,50.6 %RH,7.3 °C
281,2020-05-01 14:07:00,17.7 °C,50.6 %RH,7.3 °C
282,2020-05-01 14:22:00,17.7 °C,50.6 %RH,7.3 °C
283,2020-05-01 14:37:00,17.7 °C,50.6 %RH,7.3 °C
284,2020-05-01 14:52:00,17.7 °C,50.6 %RH,7.3 °C
285,2020-05-01 15:07:00,17.7 °C,50.6 %RH,7.3 °C
286,2020-05-01 15:22:00,17.7 °C,50.6 %RH,7.3 °C
287,2020-05-01 15:37:00,17.7 °C,50.6 %RH,7.3 °C
288,2020-05-01 15:52:00,17.7 °C,50.6 %RH,7.3 °C
289,2020-05-01 16:07:00,17.7 °C,50.6 %RH,7.3 °C
290,2020-05-01 16:22:00,17.7 °C,50.6 %RH,7.3 °C
291,2020-05-01 16:37:00,17.7 °C,50.6 %RH,7.3 °C
292,2020-05-01 16:52:00,17.7 °C,50.6 %RH,7.3 °C
293,2020-05-01 17:07:00,17.7 °C,50.6 %RH,7.3 °C
294,2020-05-01 17:22:00,17.7 °C,50.6 %RH,7.3 °C
295,2020-05-01 17:37:00,17.7 °C,50.6 %RH,7.3 °C
