[#I]Device Description,,,
20/02/2020,02:00:02,56.3,17.3
20/02/2020,14:00:02,56.8,17.3
21/02/2020,02:00:02,55.9,17.4
21/02/2020,14:00:02,52.2,17.7
21/02/2020,17:29:39,49.7,18
22/02/2020,05:29:39,47.1,18.1
22/02/2020,17:29:39,45.8,18.3
23/02/2020,05:29:39,45.2,18.6
23/02/2020,17:29:39,45.5,18.6
24/02/2020,05:29:39,45.3,18.6
24/02/2020,17:29:39,45.3,19
25/02/2020,05:29:39,45.2,19
25/02/2020,17:29:39,44.7,18.9
26/02/2020,05:29:39,44.7,18.9
26/02/2020,17:29:39,44.7,18.8
27/02/2020,05:29:39,44.7,18.4
27/02/2020,17:29:39,44.5,18.2
28/02/2020,05:29:39,44.6,18.4
28/02/2020,17:29:39,44.9,18.3
29/02/2020,05:29:39,45,18.4
29/02/2020,17:29:39,45.6,18.3
01/03/2020,05:29:39,45.4,18.4
01/03/2020,17:29:39,45.4,18.4
02/03/2020,05:29:39,45.3,18.5
02/03/2020,17:29:39,45.2,18.5
03/03/2020,05:29:39,45.4,18.6
03/03/2020,17:29:39,45.3,18.6
04/03/2020,05:29:39,45.4,18.6
04/03/2020,17:29:39,45.4,18.6
05/03/2020,05:29:39,45.3,18.7
05/03/2020,17:29:39,45.4,18.7
06/03/2020,05:29:39,45.5,18.6
06/03/2020,17:29:39,45.4,18.7
07/03/2020,05:29:39,45.3,18.8
07/03/2020,17:29:39,45.2,18.8
08/03/2020,05:29:39,45.2,18.9
08/03/2020,17:29:39,45.4,19
09/03/2020,05:29:39,45.3,19.1
09/03/2020,17:29:39,45.5,19.1
10/03/2020,05:29:39,44.9,19
10/03/2020,17:29:39,45.7,19.3
11/03/2020,05:29:39,45.7,19.4
11/03/2020,17:29:39,45.9,19.4
12/03/2020,05:29:39,44.4,19.4
12/03/2020,17:29:39,43.3,19
13/03/2020,05:29:39,44.1,18.9
13/03/2020,17:29:39,45,19.1
14/03/2020,05:29:39,45.3,19.1
14/03/2020,17:29:39,45.5,19.3
15/03/2020,05:29:39,45.7,19.4
15/03/2020,17:29:39,45.9,19.5
16/03/2020,05:29:39,45.9,19.5
16/03/2020,17:29:39,47.1,19.5
17/03/2020,05:29:39,48.9,19.5
17/03/2020,17:29:39,49.5,19.5
18/03/2020,05:29:39,50.3,19.5
18/03/2020,17:29:39,49.9,19.3
19/03/2020,05:29:39,50.7,19.5
19/03/2020,17:29:39,50.1,19.5
20/03/2020,05:29:39,50.6,19.6
20/03/2020,17:29:39,49.8,19.6
21/03/2020,05:29:39,50.8,19.3
21/03/2020,17:29:39,49.9,19
22/03/2020,05:29:39,50.8,18.9
22/03/2020,17:29:39,50,18.7
23/03/2020,05:29:39,50.6,18.6
23/03/2020,13:08:49,50.3,18.9
24/03/2020,01:08:49,49,19.1
24/03/2020,13:08:49,48.2,18.8
25/03/2020,01:08:49,48.8,18.6
25/03/2020,13:08:49,48.9,18.5
26/03/2020,01:08:49,48.9,18.4
26/03/2020,13:08:49,49.2,18.3
27/03/2020,01:08:49,50.1,18.2
27/03/2020,13:08:49,49.5,18.1
28/03/2020,01:08:49,49.4,18
28/03/2020,13:08:49,49.8,18
29/03/2020,01:08:49,49.4,17.9
29/03/2020,13:08:49,49.2,17.9
30/03/2020,01:08:49,49.1,17.8
30/03/2020,13:08:49,49.6,17.8
31/03/2020,01:08:49,50.4,17.7
31/03/2020,13:08:49,49.6,17.6
01/04/2020,01:08:49,48.6,17.5
01/04/2020,09:21:26,48.6,17.6
01/04/2020,09:22:00,48.2,17.6
01/04/2020,21:22:00,49.6,17.6
02/04/2020,09:22:00,50.5,17.6
02/04/2020,21:22:00,50.7,17.6
03/04/2020,09:22:00,50.3,17.7
03/04/2020,21:22:00,51.6,17.7
04/04/2020,09:22:00,51.8,17.7
04/04/2020,21:22:00,53.3,17.7
05/04/2020,09:22:00,51.9,17.7
05/04/2020,21:22:00,51.4,17.8
06/04/2020,09:22:00,49.5,17.7
06/04/2020,21:22:00,48.8,17.7
07/04/2020,09:22:00,48.9,17.8
07/04/2020,21:22:00,48.8,17.8
08/04/2020,09:22:00,49.1,17.8
08/04/2020,21:22:00,48.9,17.8
09/04/2020,09:22:00,49.3,17.7
09/04/2020,21:22:00,51.3,17.8
10/04/2020,09:22:00,50.7,17.8
10/04/2020,21:22:00,50.5,17.8
11/04/2020,09:22:00,50.4,17.7
11/04/2020,21:22:00,51.6,17.8
12/04/2020,09:22:00,51.7,17.9
12/04/2020,21:22:00,52.5,17.9
13/04/2020,09:22:00,52.1,18
13/04/2020,21:22:00,53.4,18.1
14/04/2020,09:22:00,50.7,18
14/04/2020,21:22:00,49.6,18
15/04/2020,09:22:00,48.8,17.9
15/04/2020,21:22:00,48,17.8
16/04/2020,09:22:00,48.6,17.8
16/04/2020,21:22:00,51.2,18
17/04/2020,09:22:00,51.9,18
17/04/2020,21:22:00,53.8,18.2
18/04/2020,09:22:00,55.3,18.3
18/04/2020,21:22:00,56.5,18.4
19/04/2020,09:22:00,57.5,18.5
19/04/2020,21:22:00,58.2,18.6
20/04/2020,09:22:00,58.4,18.7
20/04/2020,21:22:00,58.6,18.8
21/04/2020,09:22:00,58.7,18.8
21/04/2020,21:22:00,59,19
22/04/2020,09:22:00,59.3,19.1
22/04/2020,21:22:00,59.7,19
23/04/2020,09:22:00,60,19
23/04/2020,21:22:00,60.5,19.1
24/04/2020,09:22:00,60.7,19.1
24/04/2020,21:22:00,60.8,19.1
25/04/2020,09:22:00,55.7,19.1
25/04/2020,21:22:00,53,19.1
26/04/2020,09:22:00,51,18.9
26/04/2020,21:22:00,51.6,19
27/04/2020,09:22:00,50.9,19
27/04/2020,21:22:00,51.4,19.1
28/04/2020,09:22:00,50.6,18.9
28/04/2020,21:22:00,50.7,19
29/04/2020,09:22:00,50.9,19
29/04/2020,21:22:00,51.6,19
30/04/2020,09:22:00,50.8,18.9
30/04/2020,21:22:00,50.4,19
01/05/2020,09:22:00,49.1,18.7
01/05/2020,21:22:00,50.9,18.8
02/05/2020,09:22:00,50.5,18.7
02/05/2020,21:22:00,50.8,18.8
03/05/2020,09:22:00,50.2,18.7
03/05/2020,21:22:00,51.8,18.8
04/05/2020,09:22:00,51.4,18.7
04/05/2020,21:22:00,51.6,18.8
05/05/2020,09:22:00,50.4,18.6
05/05/2020,21:22:00,50.5,18.7
06/05/2020,09:22:00,51,18.7
06/05/2020,21:22:00,52.4,18.8
07/05/2020,09:22:00,51.9,18.8
07/05/2020,21:22:00,51.5,18.8
08/05/2020,09:22:00,51.7,18.8
08/05/2020,21:22:00,53.3,18.9
09/05/2020,09:22:00,51.5,18.8
09/05/2020,21:22:00,51,18.8
10/05/2020,09:22:00,49.8,18.7
10/05/2020,21:22:00,49.7,18.8
11/05/2020,09:22:00,49,18.8
11/05/2020,21:22:00,47.8,18.8
12/05/2020,09:22:00,47.6,18.7
12/05/2020,21:22:00,46.9,18.7
13/05/2020,09:22:00,45.9,18.7
13/05/2020,21:22:00,47.3,18.8
14/05/2020,09:22:00,48.5,18.8
14/05/2020,21:22:00,50.2,18.8
15/05/2020,09:22:00,50.6,18.8
15/05/2020,21:22:00,52,18.8
16/05/2020,09:22:00,50.5,18.7
16/05/2020,21:22:00,51.3,18.8
17/05/2020,09:22:00,50.6,18.6
17/05/2020,21:22:00,51.9,18.8
18/05/2020,09:22:00,50.9,18.6
18/05/2020,21:22:00,50,18.5
19/05/2020,09:22:00,50,18.4
19/05/2020,21:22:00,51,18.7
20/05/2020,09:22:00,50.5,18.7
20/05/2020,21:22:00,52.2,19
21/05/2020,09:22:00,51.1,18.9
21/05/2020,21:22:00,50.3,19.1
22/05/2020,09:22:00,50.3,19.1
22/05/2020,21:22:00,51.3,19.4
23/05/2020,09:22:00,50.3,19.4
23/05/2020,21:22:00,48.3,19.3
24/05/2020,09:22:00,48.1,19.2
24/05/2020,21:22:00,47.7,19.2
25/05/2020,09:22:00,48.5,19.3
25/05/2020,21:22:00,48,19.4
26/05/2020,09:22:00,48.8,19.3
26/05/2020,21:22:00,49.1,19.3
27/05/2020,09:22:00,47,20.3
27/05/2020,21:22:00,46,20.2
28/05/2020,09:22:00,45.7,20.2
28/05/2020,21:22:00,45,20.6
29/05/2020,09:22:00,45.3,20.5
29/05/2020,21:22:00,45.5,20.4
30/05/2020,09:22:00,46,20.5
30/05/2020,21:22:00,45.5,20.6
31/05/2020,09:22:00,45.1,20.5
31/05/2020,21:22:00,43.3,20.5
01/06/2020,09:22:00,43.7,21
01/06/2020,21:22:00,45.6,21
02/06/2020,09:22:00,45.9,21
02/06/2020,21:22:00,46.1,21.1
03/06/2020,09:22:00,46.3,21.2
03/06/2020,21:22:00,45.6,21.2
04/06/2020,09:22:00,46.6,21.3
04/06/2020,21:22:00,44.8,21.3
05/06/2020,09:22:00,44.4,21.5
05/06/2020,21:22:00,44.8,21.5
06/06/2020,09:22:00,44.9,21.5
06/06/2020,21:22:00,44.4,21.6
07/06/2020,09:22:00,43.3,21.3
07/06/2020,21:22:00,43.9,21.3
08/06/2020,09:22:00,43.2,21.2
08/06/2020,21:22:00,46.6,21.3
09/06/2020,09:22:00,46.7,21.2
09/06/2020,21:22:00,47.5,21.2
10/06/2020,09:22:00,48.2,21.3
10/06/2020,21:22:00,47.1,21.2
11/06/2020,09:22:00,46.9,21.2
11/06/2020,21:22:00,47.6,21.2
12/06/2020,09:22:00,48.3,21.3
12/06/2020,21:22:00,48.2,21.2
13/06/2020,09:22:00,47.3,21.2
13/06/2020,21:22:00,47.3,21.2
14/06/2020,09:22:00,47.2,21.2
14/06/2020,21:22:00,46.7,21.1
15/06/2020,09:22:00,45.2,21.1
15/06/2020,21:22:00,42.6,20.8
16/06/2020,09:22:00,43.9,21.4
16/06/2020,21:22:00,46,21.4
17/06/2020,09:22:00,46.5,21.5
17/06/2020,21:22:00,45.8,21.8
18/06/2020,09:22:00,44.4,22.1
18/06/2020,21:22:00,45.8,21.9
19/06/2020,09:22:00,47.3,21.9
19/06/2020,21:22:00,48.9,22
20/06/2020,09:22:00,49.9,22
20/06/2020,21:22:00,50.2,22
21/06/2020,09:22:00,50.1,22
21/06/2020,21:22:00,49.5,22
22/06/2020,09:22:00,49,22
22/06/2020,21:22:00,50.3,22.2
23/06/2020,09:22:00,47.6,22.6
23/06/2020,21:22:00,48.9,22.5
24/06/2020,09:22:00,50.3,22.5
24/06/2020,21:22:00,51.7,22.5
25/06/2020,09:22:00,53.6,22.6
25/06/2020,21:22:00,51.6,22.7
26/06/2020,09:22:00,50.3,22.8
26/06/2020,21:22:00,46,22.8
27/06/2020,09:22:00,42.8,22.6
27/06/2020,21:22:00,44,22.7
28/06/2020,09:22:00,43.4,22.7
28/06/2020,21:22:00,43,22.7
29/06/2020,09:22:00,42.8,22.7
29/06/2020,21:22:00,42,22.6
30/06/2020,09:22:00,41.9,22.6
30/06/2020,21:22:00,46.1,22.5
01/07/2020,09:22:00,47.1,22.4
01/07/2020,21:22:00,49.3,22.5
02/07/2020,09:22:00,48,22.4
02/07/2020,21:22:00,50,22.6
03/07/2020,09:22:00,52.1,22.7
03/07/2020,21:22:00,51,22.5
04/07/2020,09:22:00,51.4,22.4
04/07/2020,21:22:00,51.4,22.2
05/07/2020,09:22:00,52.4,22.2
05/07/2020,21:22:00,51.7,22
06/07/2020,09:22:00,51.8,21.9
06/07/2020,21:22:00,50.8,22.1
07/07/2020,09:22:00,50.5,22
07/07/2020,21:22:00,51.1,22.2
08/07/2020,09:22:00,50.5,22.1
08/07/2020,21:22:00,50.5,22.2
09/07/2020,09:22:00,49.8,22.2
09/07/2020,21:22:00,49.4,22.1
10/07/2020,09:22:00,49.7,22
10/07/2020,21:22:00,51.1,22.2
11/07/2020,09:22:00,51.1,22.2
11/07/2020,21:22:00,49.6,22
12/07/2020,09:22:00,50.2,22.1
12/07/2020,21:22:00,51.3,22.1
13/07/2020,09:22:00,51.7,22.2
13/07/2020,21:22:00,52.3,22.2
14/07/2020,09:22:00,51,22.2
14/07/2020,21:22:00,51.5,22.2
15/07/2020,09:22:00,50.3,22
15/07/2020,21:22:00,50.5,22.1
16/07/2020,09:22:00,50.3,22.1
16/07/2020,21:22:00,50.5,22
17/07/2020,09:22:00,50.6,22
17/07/2020,21:22:00,51.1,22
18/07/2020,09:22:00,50.4,22
18/07/2020,21:22:00,49.5,22.1
19/07/2020,09:22:00,51,22.2
19/07/2020,21:22:00,51.7,22.3
20/07/2020,09:22:00,51.1,22.3
20/07/2020,21:22:00,50.4,22.2
21/07/2020,09:22:00,48.8,22
21/07/2020,21:22:00,48.3,22.1
22/07/2020,09:22:00,47.9,22
22/07/2020,21:22:00,48.2,22.1
23/07/2020,09:22:00,48.4,22
23/07/2020,21:22:00,48.4,22.1
24/07/2020,09:22:00,48.8,22.1
24/07/2020,21:22:00,50.2,22.2
25/07/2020,09:22:00,50.9,22.3
25/07/2020,21:22:00,52.3,22.2
26/07/2020,09:22:00,53.8,22.3
26/07/2020,21:22:00,54.7,22.3
27/07/2020,09:22:00,55.1,22.4
27/07/2020,21:22:00,55.3,22.5
28/07/2020,09:22:00,55.3,22.5
28/07/2020,21:22:00,53.6,22.5
29/07/2020,09:22:00,52.9,22.4
29/07/2020,21:22:00,53.2,22.5
30/07/2020,09:22:00,51.6,22.2
30/07/2020,21:22:00,52.1,22.4
31/07/2020,09:22:00,52.3,22.5
31/07/2020,21:22:00,53.8,22.4
01/08/2020,09:22:00,54,22.6
01/08/2020,21:22:00,54,22.6
02/08/2020,09:22:00,54,22.6
02/08/2020,21:22:00,52.3,22.5
03/08/2020,09:22:00,51.8,22.6
03/08/2020,21:22:00,51.1,22.6
04/08/2020,09:22:00,51.9,22.7
04/08/2020,21:22:00,50.8,22.5
05/08/2020,09:22:00,51.9,22.4
05/08/2020,21:22:00,53,22.4
06/08/2020,09:22:00,53.1,22.4
06/08/2020,21:22:00,53.6,22.4
07/08/2020,09:22:00,54.7,22.4
07/08/2020,21:22:00,54.1,22.4
08/08/2020,09:22:00,54.7,22.5
08/08/2020,21:22:00,53.5,22.4
09/08/2020,09:22:00,52.3,22.4
09/08/2020,21:22:00,52,22.3
10/08/2020,09:22:00,52.1,22.4
10/08/2020,21:22:00,52.6,22.5
11/08/2020,09:22:00,52.9,22.6
11/08/2020,21:22:00,52.9,22.5
12/08/2020,09:22:00,53.2,22.6
12/08/2020,21:22:00,55.1,22.7
13/08/2020,09:22:00,55.1,22.8
13/08/2020,21:22:00,55.6,22.7
14/08/2020,09:22:00,56,22.8
14/08/2020,21:22:00,55.3,22.9
15/08/2020,09:22:00,56.7,23
15/08/2020,21:22:00,58.5,23.2
16/08/2020,09:22:00,60.3,23.3
16/08/2020,21:22:00,61.7,23.4
17/08/2020,09:22:00,62.6,23.5
17/08/2020,21:22:00,63.2,23.6
18/08/2020,09:22:00,63.6,23.6
18/08/2020,21:22:00,63.8,23.7
19/08/2020,09:22:00,64,23.7
19/08/2020,21:22:00,64.4,23.8
20/08/2020,09:22:00,64.9,23.8
20/08/2020,21:22:00,64.8,24
21/08/2020,09:22:00,64.4,24.1
21/08/2020,21:22:00,64.1,24
22/08/2020,09:22:00,63.9,24
22/08/2020,21:22:00,63.5,24
23/08/2020,09:22:00,63.2,24
23/08/2020,21:22:00,63.1,24
24/08/2020,09:22:00,62.9,24
24/08/2020,21:22:00,62.9,23.9
25/08/2020,09:22:00,63.1,23.9
25/08/2020,21:22:00,63.4,23.9
26/08/2020,09:22:00,63.3,23.9
26/08/2020,21:22:00,63.1,23.9
27/08/2020,09:22:00,63,23.9
27/08/2020,21:22:00,63,23.8
28/08/2020,09:22:00,63.1,23.8
28/08/2020,21:22:00,58.1,23.6
29/08/2020,09:22:00,46.9,23.2
29/08/2020,21:22:00,46.5,23
30/08/2020,09:22:00,47.9,23
30/08/2020,21:22:00,46.9,22.7
31/08/2020,09:22:00,47.9,22.5
31/08/2020,21:22:00,46.7,22.4
01/09/2020,09:22:00,46.4,22
01/09/2020,21:22:00,48,22.1
02/09/2020,09:22:00,48.8,22
02/09/2020,21:22:00,50.3,22
03/09/2020,09:22:00,52.7,22
03/09/2020,21:22:00,54,21.9
04/09/2020,09:22:00,54.5,21.9
04/09/2020,21:22:00,54.8,21.9
05/09/2020,09:22:00,55.4,21.9
05/09/2020,21:22:00,54.3,21.7
06/09/2020,09:22:00,53,21.7
06/09/2020,21:22:00,53.9,21.7
07/09/2020,09:22:00,52.9,21.6
07/09/2020,21:22:00,53.6,21.5
08/09/2020,09:22:00,54.8,21.5
08/09/2020,21:22:00,55.2,21.7
09/09/2020,09:22:00,55.1,21.7
09/09/2020,21:22:00,55.1,21.7
10/09/2020,09:22:00,53.6,21.7
10/09/2020,21:22:00,53.6,21.6
11/09/2020,09:22:00,52.8,21.5
11/09/2020,21:22:00,52.3,21.4
12/09/2020,09:22:00,53.3,21.4
12/09/2020,21:22:00,52.7,21.4
13/09/2020,09:22:00,54,21.3
13/09/2020,21:22:00,54.6,21.2
14/09/2020,09:22:00,54.7,21.3
14/09/2020,21:22:00,54,21.2
15/09/2020,09:22:00,55,21.3
15/09/2020,21:22:00,55.6,21.3
16/09/2020,09:22:00,54.4,21.3
16/09/2020,21:22:00,55.1,21.4
17/09/2020,09:22:00,55.3,21.4
17/09/2020,21:22:00,54,21.5
18/09/2020,09:22:00,53.1,21.5
18/09/2020,21:22:00,52.1,21.4
19/09/2020,09:22:00,53.4,21.4
19/09/2020,21:22:00,51.4,21.4
20/09/2020,09:22:00,52.2,21.4
20/09/2020,21:22:00,51.3,21.4
21/09/2020,09:22:00,53.3,21.4
21/09/2020,21:22:00,50.9,21.5
22/09/2020,09:22:00,52.1,21.6
22/09/2020,21:22:00,50.7,21.5
23/09/2020,09:22:00,53.3,21.5
23/09/2020,21:22:00,53.1,21.5
24/09/2020,09:22:00,52.8,21.5
24/09/2020,21:22:00,51.4,21.3
25/09/2020,09:22:00,51.2,21.2
25/09/2020,21:22:00,50.3,21.1
26/09/2020,09:22:00,50.2,21.2
26/09/2020,21:22:00,51.8,21.2
27/09/2020,09:22:00,52,21.1
27/09/2020,21:22:00,51.1,21.1
28/09/2020,09:22:00,51.2,21
28/09/2020,21:22:00,50.5,20.9
29/09/2020,09:22:00,50.8,20.9
29/09/2020,21:22:00,52.4,20.8
30/09/2020,09:22:00,52.2,20.7
30/09/2020,21:22:00,52.4,20.6
01/10/2020,09:22:00,53.4,20.6
01/10/2020,21:22:00,53.8,20.6
02/10/2020,09:22:00,54.3,20.5
02/10/2020,21:22:00,55.1,20.4
03/10/2020,09:22:00,54.7,20.3
03/10/2020,21:22:00,54.4,20.2
04/10/2020,09:22:00,55.1,20.2
04/10/2020,21:22:00,55.7,20.2
05/10/2020,09:22:00,55.8,20.1
05/10/2020,21:22:00,55.9,20
06/10/2020,09:22:00,55.7,19.9
06/10/2020,21:22:00,54.8,19.9
07/10/2020,09:22:00,53.6,19.8
07/10/2020,21:22:00,54.3,19.7
08/10/2020,09:22:00,55.1,19.7
08/10/2020,21:22:00,55.5,19.7
09/10/2020,09:22:00,54.2,19.6
09/10/2020,21:22:00,54.2,19.6
10/10/2020,09:22:00,54.3,19.5
10/10/2020,21:22:00,54.8,19.5
11/10/2020,09:22:00,55.2,19.4
11/10/2020,21:22:00,55.4,19.3
12/10/2020,09:22:00,53.9,19.2
12/10/2020,21:22:00,54.6,19.2
13/10/2020,09:22:00,55,19.1
13/10/2020,21:22:00,55.4,19
14/10/2020,09:22:00,55.8,19
14/10/2020,21:22:00,55.2,18.9
15/10/2020,09:22:00,55.4,18.9
15/10/2020,21:22:00,55.1,18.8
16/10/2020,09:22:00,55.3,18.7
16/10/2020,21:22:00,55.2,18.7
17/10/2020,09:22:00,55.8,18.6
17/10/2020,21:22:00,56.7,18.6
18/10/2020,09:22:00,57.5,18.6
18/10/2020,21:22:00,58.2,18.6
19/10/2020,09:22:00,58.7,18.5
19/10/2020,21:22:00,59.1,18.5
20/10/2020,09:22:00,59.4,18.5
20/10/2020,21:22:00,57.9,18.4
21/10/2020,09:22:00,56.4,18.4
21/10/2020,21:22:00,56,18.4
22/10/2020,09:22:00,55.8,18.4
22/10/2020,21:22:00,55.8,18.3
23/10/2020,09:22:00,56,18.4
23/10/2020,21:22:00,55.4,18.4
24/10/2020,09:22:00,54.3,18.3
24/10/2020,21:22:00,55.3,18.3
25/10/2020,09:22:00,54.4,18.3
25/10/2020,21:22:00,54.7,18.3
26/10/2020,09:22:00,53.6,18.3
26/10/2020,21:22:00,55,18.3
27/10/2020,09:22:00,55.1,18.2
27/10/2020,21:22:00,55.6,18.1
28/10/2020,09:22:00,55.8,18.1
28/10/2020,21:22:00,56.3,18
29/10/2020,09:22:00,56.2,18
29/10/2020,21:22:00,55.6,17.9
30/10/2020,09:22:00,55.8,17.9
30/10/2020,21:22:00,57,18
31/10/2020,09:22:00,56.4,17.9
31/10/2020,21:22:00,56.1,17.9
01/11/2020,09:22:00,56.1,17.8
01/11/2020,21:22:00,55.7,17.8
02/11/2020,09:22:00,54.4,17.8
02/11/2020,21:22:00,55.3,17.8
03/11/2020,09:22:00,55.8,17.8
03/11/2020,21:22:00,56,17.9
04/11/2020,09:22:00,56,17.9
04/11/2020,21:22:00,51.7,19.8
05/11/2020,09:22:00,49.7,18.5
05/11/2020,21:22:00,49.7,18.6
06/11/2020,09:22:00,49.6,18.1
06/11/2020,21:22:00,49.3,20.7
07/11/2020,09:22:00,48.8,20.7
07/11/2020,21:22:00,49,20.9
08/11/2020,09:22:00,49.7,20.9
08/11/2020,21:22:00,50.2,21
09/11/2020,09:22:00,50.6,21.1
09/11/2020,21:22:00,50.6,21.3
10/11/2020,09:22:00,50.8,21.2
10/11/2020,21:22:00,50.9,21.2
11/11/2020,09:22:00,51,21.1
11/11/2020,21:22:00,51.1,21.2
12/11/2020,09:22:00,51.1,21.1
12/11/2020,21:22:00,50.8,21.1
13/11/2020,09:22:00,50.9,21.1
13/11/2020,21:22:00,50.8,21.1
14/11/2020,09:22:00,50.5,21.1
14/11/2020,21:22:00,50.7,21.1
15/11/2020,09:22:00,50.9,21.1
15/11/2020,21:22:00,50.5,21
16/11/2020,09:22:00,50,21
16/11/2020,21:22:00,49.6,21.1
17/11/2020,09:22:00,50,21.1
17/11/2020,21:22:00,50.2,21.1
18/11/2020,09:22:00,50.6,21.1
18/11/2020,21:22:00,50.7,21.2
19/11/2020,09:22:00,49.8,21.1
19/11/2020,21:22:00,49,21.1
20/11/2020,09:22:00,47.7,20.9
20/11/2020,21:22:00,47.1,21.1
21/11/2020,09:22:00,47.5,21.1
21/11/2020,21:22:00,48.2,21.1
22/11/2020,09:22:00,48.9,21.1
22/11/2020,21:22:00,49.1,21.1
23/11/2020,09:22:00,48.6,21
23/11/2020,21:22:00,48,21
24/11/2020,09:22:00,48.2,21
24/11/2020,21:22:00,48.5,21
25/11/2020,09:22:00,49,21
25/11/2020,21:22:00,49.4,21
26/11/2020,09:22:00,49.2,20.9
26/11/2020,21:22:00,48.5,23.7
27/11/2020,09:22:00,45,21.6
27/11/2020,21:22:00,43.7,21.7
28/11/2020,09:22:00,42.8,24.2
28/11/2020,21:22:00,44.2,23.8
29/11/2020,09:22:00,44.1,23.3
29/11/2020,21:22:00,45.1,23.2
30/11/2020,09:22:00,42.4,19.1
30/11/2020,21:22:00,44.5,15.9
01/12/2020,09:22:00,45,15.9
01/12/2020,21:22:00,45.3,9.6
02/12/2020,09:22:00,46.2,8.6
02/12/2020,21:22:00,47.4,16
03/12/2020,09:22:00,47.2,12
03/12/2020,21:22:00,49.1,18.8
04/12/2020,09:22:00,48.8,17.8
04/12/2020,21:22:00,47.4,17.6
05/12/2020,09:22:00,47.5,17.4
05/12/2020,21:22:00,47.3,17.9
06/12/2020,09:22:00,46.1,17.8
06/12/2020,21:22:00,45.3,21.1
07/12/2020,09:22:00,44.9,20.9
07/12/2020,21:22:00,42.4,12.4
08/12/2020,09:22:00,44.8,15.5
08/12/2020,21:22:00,46.8,14.2
09/12/2020,09:22:00,49,16.4
09/12/2020,21:22:00,49.8,15.5
10/12/2020,09:22:00,50.4,15.5
10/12/2020,21:22:00,52,15.6
11/12/2020,09:22:00,54,17
11/12/2020,21:22:00,55.9,19.4
12/12/2020,09:22:00,54.9,15.2
12/12/2020,21:22:00,56.1,12
13/12/2020,09:22:00,56.8,16.5
13/12/2020,21:22:00,56.1,14.9
14/12/2020,09:22:00,57.5,17.8
14/12/2020,21:22:00,56,19.6
15/12/2020,09:22:00,53.6,19.4
15/12/2020,21:22:00,56.3,22.3
16/12/2020,09:22:00,57.1,20.4
